الكلمة,التشكيل,له_صورة,له_صوت,اسم,فعل,حرف,التحليل,اين-وردت,جملة   ,نوع-الجملة,الوزن-الصرفي,مصروف-ممنوع,المستوى-العمري,الدولة,المصدر,اضافة-ال,نوع-الفعل-ماض-مضارع-امر,صحيح-معتل-الاول-الوسط-الاخر,ID
ركوب,رُكوب,,,1,,,رُ-كو-بٌ,kg2,,,,,,,,,,,
رمان,رُمّان,,,1,,,رُمْـ-ما-نٌ,KG1-kg2-1H6-4H3,,,,,,,,,,,
رموش,رُموش,,,1,,,رُ-مو-شٌ,kg2-2H2-S-4H8,,,,,,,,,,,
رؤوس,رُؤوس,,,1,,,رُ-ؤو-سٌ,kg2-2H2,,,,,,,,,,,
رجل,رِجْـل,,,1,,,رِجْـ-لٌ,KG1,,,,,,,,,,,
رسالة,رِسالَة,,,1,,,رِ-ساـ-لَـةٌ,kg2,,,,,,,,,,,
رفق,رِفْق,,,1,,,رِفْـ-قٌ,kg2-2H2,,,,,,,,,,,
رفاق,رِفاق,,,1,,,رِ-فا-قٌ,kg2,,,,,,,,,,,
رمش,رِمْش,,,1,,,رِمْـ-شٌ,kg2-S,,,,,,,,,,,
رمال,رِمال,,,1,,,رِ-ما-لٌ,kg2,,,,,,,,,,,
رواية,رِوايَة,,,1,,,رِ-وا-يَـ-ـةٌ,kg2,,,,,,,,,,,
رياض,رِياض,,,1,,,رِ-يا-ضٌ,KG1-1H6,,,,,,,,,,,
ريشة,ريشَة,,,1,,,ريـ-شَـ-ـةٌ,kg2-KG1-2H5-1H6,,,,,,,,,,,
رابح,رابِح,,,1,,,را-بِـ-حٌ,2H12,,,,,,,,,,,
راعي,راعي,,,1,,,را-عي,2H12,,,,,,,,,,,
راغب,راغِب,,,1,,,را-غِـ-بٌ,2H16,,,,,,,,,,,
راكب,راكِب,,,1,,,را-كِـ-بٌ,2H17,,,,,,,,,,,
راكون,راكون,,,1,,,را-كو-ن,4H3,,,,,,,,,,,
رامي,رامِي,,,1,,,را-مي,2H2,,,,,,,,,,,
رائحة,رائِحَة,,,1,,,را-ئِـ-حَـ-ـةٌ,1H7,,,,,,,,,,,
رائد,رائِد,,,1,,,را-ئِـ-دٌ,2H9-kg2,,,,,,,,,,,
رائع,رائِع,,,1,,,را-ئِـ-ـعٌ,4H9,,,,,,,,,,,
رأس,رَأس,,,1,,,رَأْ-سٌ,1H4-4H2-1H6-4H4,,,,,,,,,,,
ربان,رُبّانُ,,,1,,,رُبْـ-با-نٌ,4H4,,,,,,,,,,,
ربى,رُبى,,,1,,,رُ-بى,2H16,,,,,,,,,,,
رجال,رِجال,,,1,,,رِ-جا-لٌ,2H15,,,,,,,,,,,
رحالة,رَحّالَة,,,1,,,رَحْـ-حا-لَـ-ـةٌ,4H4,,,,,,,,,,,
رحاب,رِحاب,,,1,,,رِ-حا-بٌ,2H16,,,,,,,,,,,
رحلة,رِحْـلَة,,,1,,,رِحْـ-لَـ-ـةٌ,4H1-4H4,,,,,,,,,,,
رحيق,رَحيق,,,1,,,رَ-حيـ-قٌ,2H9-4H8-4H9,,,,,,,,,,,
رحيل,رَحيل,,,1,,,رَ-حيـ-لٌ,4H6,,,,,,,,,,,
رخص,رُخِّصَ,,,,1,,رُخْـ-خِـ-صَ,4H4,,,,,,,,,,,
رداء,رِداء,,,1,,,رِ-دا-ءٌ,4H2,,,,,,,,,,,
رذاذ,رَذاذ,,,1,,,رَ-ذا-ذٌ,4H8,,,,,,,,,,,
رزمة,رُزْمَة,,,1,,,رُزْ-مَـ-ـةٌ,4H2,,,,,,,,,,,
رزين,رَزين,,,1,,,رَ-زيـ-نٌ,2H9,,,,,,,,,,,
رسام,رَسّام,,,1,,,رَسْـ-سا-مٌ,2H4,,,,,,,,,,,
رسالة,رِسالَة,,,1,,,رِ-سا-لَـ-ـةٌ,2H14-4H3,,,,,,,,,,,
رشيق,رَشيق,,,1,,,رَ-شيـ-قٌ,2H9,,,,,,,,,,,
رصاص,رَصاص,,,1,,,رَ-صا-صٌ,1H6,,,,,,,,,,,
رضوض,رُضوض,,,1,,,رُ-ضو-ضٌ,2H9,,,,,,,,,,,
رطب,رَطِب,,,1,,,رَ-طِ-بٌ,2H16,,,,,,,,,,,
رطوبة,رُطوبَة,,,1,,,رُ-طو-بَةٌ,2H9,,,,,,,,,,,
رعد,رَعْد,,,1,,,رَعْـ-دٌ,2H4,,,,,,,,,,,
رغد,رَغَد,,,1,,,رَ-غَـ-دٌ,2H13,,,,,,,,,,,
رفاق,رِفاق,,,1,,,رِ-فا-قٌ,2H11,,,,,,,,,,,
رفاه,رفاه,,,1,,,رَ-فا-هٌ,4H8,,,,,,,,,,,
رقص,رَقْص,,,1,,,رَقْـ-صٌ,4H6-4H8,,,,,,,,,,,
رقيب,رَقيب,,,1,,,رَ-قيـ-بٌ,2H11,,,,,,,,,,,
ركام,رُكام,,,1,,,رُ-كا-مٌ,2H9,,,,,,,,,,,
ركبة,رُكْبَة,,,1,,,رُكْـ-بَـ-ـةٌ,2H16,,,,,,,,,,,
ركض,رَكْض,,,1,,,رَكْـ-ضٌ,4H9,,,,,,,,,,,
ركوب,رُكوب,,,1,,,رُ-كو-بٌ,2H9-4H5,,,,,,,,,,,
ركوع,رُكوع,,,1,,,رُ-كو-عٌ,4H6,,,,,,,,,,,
رماد,رَماد,,,1,,,رَ-ما-دٌ,4H2,,,,,,,,,,,
رمال,رِمال,,,1,,,رِ-ما-لٌ,2H4-S,,,,,,,,,,,
رمح,رُمْح,,,1,,,رُمْـ-حٌ,4H2,,,,,,,,,,,
رمل,رَمْل,,,1,,,رمْـ-لٌ,2H2-S,,,,,,,,,,,
رموز,رُموز,,,1,,,رُ-مو-زٌ,2H15,,,,,,,,,,,
رنة,رَنَّة,,,1,,,رَنْـ-نَـ-ـةٌ,1H4,,,,,,,,,,,
رنم,رَنَّمَ,,,,1,,رَنْـ-نَـ-مَ,4H4,,,,,,,,,,,
رنيم,رَنيم,,,1,,,رَ-نيـ-مٌ,2H9,,,,,,,,,,,
رهام,رِهام,,,1,,,رِ-ها-مٌ,2H17,,,,,,,,,,,
رهيب,رَهيب,,,1,,,رَ-هيـ-بٌ,2H9,,,,,,,,,,,
رواية,رِوايَة,,,1,,,رِ-وا-يَـ-ـةٌ,2H7-S,,,,,,,,,,,
روح,روح,,,1,,,رو-حٌ,4H3,,,,,,,,,,,
روضة,رَوْضَة,,,1,,,رَوْ-ضَـ-ـةٌ,2H15,,,,,,,,,,,
رؤيا,رُؤْيا,,,1,,,رُؤْ-يا,2H15,,,,,,,,,,,
رياح,رِياح,,,1,,,رِ-يا-حٌ,4H1-S,,,,,,,,,,,
رياضة,رِياضَة,,,1,,,رِ-يا-ضَـ-ـةٌ,2H15,,,,,,,,,,,
ريح,ريح,,,1,,,ريـ-حٌ,4H3,,,,,,,,,,,
ريم,ريم,,,1,,,ريـ-مٌ,2H12,,,,,,,,,,,
رئيس,رَئيس,,,1,,,رَ-ئيـ-سٌ,2H9,,,,,,,,,,,
رئيف,رَئيف,,,1,,,رَ-ئيـ-فٌ,2H12,,,,,,,,,,,
زاهر,زاهِر,,,1,,,زا-هِ-رٌ,kg2,,,,,,,,,,,
زاهي,زاهي,,,1,,,زا-هـي,kg2,,,,,,,,,,,
زبادي,زَبادي,,,1,,,زَ-با-دي,kg2-2H7,,,,,,,,,,,
زبيب,زَبيب,,,1,,,زَ-بيـ-بٌ,kg2-2H7,,,,,,,,,,,
زرع,زَرْع,,,1,,,زَرْ-عٌ,kg2,,,,,,,,,,,
زرافة,زَرافَة,,,1,,,زَ-را-فَـ-ـة,KG1-kg2-1H6-2H5,,,,,,,,,,,
زعتر,زَعْتَر,,,1,,,زَعْـ-تَـ-ر,kg2-2H15,,,,,,,,,,,
زلاجة,زَلّاجَة,,,1,,,زَلْـ-لا-جَـ-ـةٌ,kg2-KG1-4H2-2H5,,,,,,,,,,,
زمان,زَمان,,,1,,,زَ-ما-نٌ,kg2-2H9-S,,,,,,,,,,,
زهرة,زَهْرَة,,,1,,,زَهْـ-رَ-ةٌ,KG1-kg2-2H4-1H6-4H3-2H5,,,,,,,,,,,
زورق,زَوْرَق,,,1,,,زَو-رَ-قٌ,KG1,,,,,,,,,,,
زيتون,زَيْتون,,,1,,,زَيْـ-تو-نٌ,kg2-2H11-4H1-2H15,,,,,,,,,,,
زينب,زَيْنَب,,,1,,,زَيْـ-نَـ-بُ,kg2-KG1-1H4,,,,,,,,,,,
زيت,زَيْت,,,1,,,زَيْـ-تٌ,KG1-1H6,,,,,,,,,,,
زئير,زَئْير,,,1,,,زَ-ئيـ-رٌ,kg2-2H2,,,,,,,,,,,
زجاج,زُجاج,,,1,,,زُ-جا-جٌ,4H3-KG1-1H6,,,,,,,,,,,
زجاجة,زُجاجَة,,,1,,,زُ-جا-جَـ-ـةٌ,KG1-kg2-1H6,,,,,,,,,,,
زحلوقة,زُحْـلوقَة,,,1,,,زُحْـ-لو-قَـ-ـة,kg2-KG1,,,,,,,,,,,
زكام,زُكام,,,1,,,زُ-كا-مٌ,kg2-2H9-4H4,,,,,,,,,,,
زهور,زُهور,,,1,,,زُ-هو-رٌ,kg2-KG1-1H6-4H6-2H9,,,,,,,,,,,
زيوت,زُيوت,,,1,,,زُ-يو-تٌ,KG1-1H6-S,,,,,,,,,,,
زحام,زِحام,,,1,,,زِ-حا-مٌ,KG1,,,,,,,,,,,
زيارة,زِيارَة,,,1,,,زِ-يا-رَ-ةٌ,kg2,,,,,,,,,,,
زينة,زينَة,,,1,,,زيـ-نَـ-ـةٌ,kg2-KG1-1H6-2H9 -4H3,,,,,,,,,,,
زامور,زامور,,,1,,,زا-مو-رٌ,2H14-4H3,,,,,,,,,,,
زاهر,زاهِر,,,1,,,زا-هِ-رٌ,2H11,,,,,,,,,,,
زاهي,زاهي,,,1,,,زا-هي,2H9,,,,,,,,,,,
زائر,زائِر,,,1,,,زا-ئِـ-رٌ,2H12,,,,,,,,,,,
زبدة,زُبْـدَة,,,1,,,زُبْـ-دَ-ةٌ,2H16,,,,,,,,,,,
زجل,زَجَل,,,1,,,زَ-جَـ-لٌ,4H1,,,,,,,,,,,
زحام,زِحام,,,1,,,زِ-حا-مٌ,1H6-4H6,,,,,,,,,,,
زحل,زُحَل,,,1,,,زُ-حَـ-لٌ,2H7,,,,,,,,,,,
زر,زِرّ,,,1,,,زِرْ-رٌ,2H2-4H1,,,,,,,,,,,
زراعة,زِراعَة,,,1,,,زِ-را-عَـ-ـةٌ,2H17-4H4,,,,,,,,,,,
زفاف,زِفاف,,,1,,,زِ-فا-فٌ,4H2-4H3,,,,,,,,,,,
زفير,زَفير,,,1,,,زَ-فيـ-رٌ,2H15,,,,,,,,,,,
زكاة,زَكاة,,,1,,,زَ-كا-ةٌ,4H2,,,,,,,,,,,
زمرد,زُمُرُّد,,,1,,,زُ-مُرْ-رُ-دٌ,4H1-2H16,,,,,,,,,,,
زمن,زَمَن,,,1,,,زَ-مَـ-نٌ,2H13,,,,,,,,,,,
زميل,زَميل,,,1,,,زَ-ميـ-لٌ,2H2,,,,,,,,,,,
زناد,زِناد,,,1,,,زِ-نا-دٌ,4H1-4H6,,,,,,,,,,,
زهير,زُهَيْر,,,1,,,زُ-هَيْـ-رٌ,2H16,,,,,,,,,,,
زوبعة,زَوْبَعَة,,,1,,,زَوْ-بَـ-ـعَـ-ـةٌ,4H5,,,,,,,,,,,
زور,زور,,,1,,,؟؟؟,4H3,,,,,,,,,,,
زورق,زَوْرَق,,,1,,,زَوْ-رَ-قٌ,2H14,,,,,,,,,,,
زيارة,زِيارة,,,1,,,زِ-يا-رَ-ةٌ,2H7-2H15-S,,,,,,,,,,,
ساعة,ساعَة,,,1,,,سا-عَـ-ـةٌ,kg2,,,,,,,,,,,
سائق,سائِق,,,1,,,سا-ئِـ-قٌ,kg2,,,,,,,,,,,
سبيل,سَبيل,,,1,,,سَـ-بيـ-لٌ,kg2,,,,,,,,,,,
سجادة,سَجّادَة,,,1,,,سَجـ-جا-دَ-ةٌ,KG1-1H6-1H7,,,,,,,,,,,
سرير,سَرير,,,1,,,سَـ-ريـ-رٌ,kg2-1H4-4H9,,,,,,,,,,,
سراب,سَراب,,,1,,,سَـ-را-بٌ,kg2-2H2,,,,,,,,,,,
سريع,سَريع,,,1,,,سَـ-ريـ-ـعٌ,kg2-2H2,,,,,,,,,,,
سعيد,سَعيد,,,1,,,سَـ-ـعيـ-دٌ,kg2,,,,,,,,,,,
سفر,سَفَر,,,1,,,سَـ-فَـ-رٌ,kg2-2H2,,,,,,,,,,,
سفينة,سَفينَة,,,1,,,سَـ-فيـ-نَـ-ـةٌ,KG1-kg2-1H4,,,,,,,,,,,
سلمى,سَلْمى,,,1,,,سَلْـ-مى,KG1-kg2-2H5,,,,,,,,,,,
سلة,سَلّة,,,1,,,سَلْـ-لَـ-ـةٌ,KG1-kg2-1H6-1H7,,,,,,,,,,,
سمر,سَمَر,,,1,,,سَـ-مَـ-رٌ,kg2-2H2,,,,,,,,,,,
سمك,سَمَك,,,1,,,سَـ-مَـ-كٌ,KG1-1H7-4H9-4H8,,,,,,,,,,,
سمكة,سَمَكَة,,,1,,,سَـ-مَـ-كَـ-ـةٌ,KG1-kg2-1H7-2H5,,,,,,,,,,,
سماء,سَماء,,,1,,,سَـ-ما-ءٌ,KG1-1H7-4H3,,,,,,,,,,,
سمير,سَمير,,,1,,,سَـ-ميـ-رٌ,kg2,,,,,,,,,,,
سنابل,سَنابِل,,,1,,,سَـ-نا-بِـ-لٌ,kg2-2H4,,,,,,,,,,,
سهل,سَهْل,,,1,,,سَـهْـ-لٌ,kg2-2H2,,,,,,,,,,,
سيارة,سَيّارَة,,,1,,,سَيْـ-يا-رَ-ةٌ,KG1-kg2-1H6-4H8-2H5,,,,,,,,,,,
سيف,سَيْف,,,1,,,سَيْـ-فٌ,kg2,,,,,,,,,,,
سترة,سُتْـرَة,,,1,,,سُتْـ-رَ-ةٌ,kg2-2H7,,,,,,,,,,,
سعال,سُعال,,,1,,,سُـ-ـعا-لٌ,kg2-2H2,,,,,,,,,,,
سفن,سُفُن,,,1,,,سُـ-فُـ-نٌ,kg2-2H7,,,,,,,,,,,
سقوط,سُقوط,,,1,,,سُـ-قو-طٌ,KG1-kg2-2H2-4H8,,,,,,,,,,,
سكر,سُكَّر,,,1,,,سُكْــ-كَـ-رٌ,kg2-2H2-4H3,,,,,,,,,,,
سكوت,سُكوت,,,1,,,سُـ-كو-تٌ,KG1-kg2-1H6,,,,,,,,,,,
سلم,سُلَّم,,,1,,,سُلـْ-لَـ-مٌ,kg2-2H2-4H4-4H8,,,,,,,,,,,
سلحفاة,سُلَحْـفاة,,,1,,,سُـ-لَحْـ-فا-ةٌ,KG1-kg2-2H2-2H5,,,,,,,,,,,
سهول,سُهول,,,1,,,سُـ-هو-لٌ,kg2,,,,,,,,,,,
سور,سور,,,1,,,سو-رٌ,kg2,,,,,,,,,,,
سوق,سوق,,,1,,,سو-قٌ,KG1-1H7,,,,,,,,,,,
سؤال,سُؤال,,,1,,,سُـ-ؤا-لٌ,kg2-2H2,,,,,,,,,,,
سباق,سِباق,,,1,,,سِـ-با-قٌ,kg2-2H2-4H4,,,,,,,,,,,
ستارة,سِتارَة,,,1,,,سِـ-تا-رَ-ةٌ,kg2-2H7,,,,,,,,,,,
سروال,سِرْوال,,,1,,,سِرْ-وا-لٌ,KG1-1H6-S,,,,,,,,,,,
سراج,سِراج,,,1,,,سِـ-را-جٌ,KG1-kg2-1H6,,,,,,,,,,,
سكين,سِكّين,,,1,,,سِكْـ-كيـ-نٌ,KG1-kg2-1H6-4H1-2H15,,,,,,,,,,,
سنجاب,سِنْجاب,,,1,,,سِنْـ-جا-بٌ,kg2-2H2-2H5-4H3,,,,,,,,,,,
سن,سِنّ,,,1,,,سِنْـ-نٌ,KG1-1H7,,,,,,,,,,,
سهام,سِهام,,,1,,,سِـ-ـها-مٌ,kg2-2H2,,,,,,,,,,,
سياج,سِياج,,,1,,,سِـ-يا-ج,KG1-kg2-1H6-4H8-S-4H9,,,,,,,,,,,
ساحر,ساحِر,,,1,,,سا-حِـ-رٌ,2H2,,,,,,,,,,,
ساخن,ساخِن,,,1,,,سا-خِـ-نٌ,4H1,,,,,,,,,,,
ساعة,ساعَة,,,1,,,سا-عَـ-ـةٌ,KG1-kg2-1H4-4H3,,,,,,,,,,,
ساق,ساق,,,1,,,سا-قٌ,4H8,,,,,,,,,,,
سامر,سامِر,,,1,,,سا-مِـ-رٌ,2H9,,,,,,,,,,,
سائح,سائِح,,,1,,,سا-ئِـ-حٌ,2H17,,,,,,,,,,,
سبورة,سَبّورَة,,,1,,,سَبْـ-بو-رَ-ةٌ,2H15,,,,,,,,,,,
سبات,سُبات,,,1,,,سُـ-با-تٌ,2H15-4H8-4H9,,,,,,,,,,,
ستار,سِتار,,,1,,,سِـ-تا-رٌ,2H2,,,,,,,,,,,
سجل,سَجَّلَ,,,,1,,سَجْـ-جَـ-لَ,4H4,,,,,,,,,,,
سجين,سَجين,,,1,,,سَـ-جيـ-نٌ,2H12,,,,,,,,,,,
سحاب,سَحاب,,,1,,,سَـ-حا-بٌ,4H5,,,,,,,,,,,
سحب,سُحُب,,,1,,,سُـ-حُـ-بٌ,4H1,,,,,,,,,,,
سحر,سِحْـر,,,1,,,سِحْـ-رٌ,4H8,,,,,,,,,,,
سخر,سَخَّرَ,,,,1,,سَخْـ-خَـ-ر,4H4,,,,,,,,,,,
سخن,سُخِّنَ,,,,1,,سُخْـ-خِـ-نَ,4H4,,,,,,,,,,,
سد,سَدّ,,,1,,,سَدْ-دٌ,4H8,,,,,,,,,,,
سديل,سَديل,,,1,,,سَدْ-دٌ,4H2,,,,,,,,,,,
سر,سِرّ,,,1,,,سِرْ-رٌ,2H17-4H9-4H6,,,,,,,,,,,
سرب,سِرْب,,,1,,,سِرْ-بٌ,4H2,,,,,,,,,,,
سرد,سَرْد,,,1,,,سَرْ-دٌ,4H8,,,,,,,,,,,
سرو,سَرْو,,,1,,,سَرْ-وٌ,1H6,,,,,,,,,,,
سرور,سُرور,,,1,,,سُـ-رو-رٌ,2H12,,,,,,,,,,,
سطر,سَطْر,,,1,,,سَطْـ-رٌ,2H4,,,,,,,,,,,
سعاد,سُعاد,,,1,,,سُـ-ـعا-دٌ,2H7-2H2,,,,,,,,,,,
سعيد,سَعيد,,,1,,,سَـ-ـعيـ-دٌ,2H9,,,,,,,,,,,
سفرة,سُفْرَة,,,1,,,سُفْـ-رَ-ةٌ,4H2,,,,,,,,,,,
سكان,سُكّان,,,1,,,سُكْـ-كا-نٌ,2H16,,,,,,,,,,,
سكون,سُكون,,,1,,,سُـ-كو-نٌ,4H1,,,,,,,,,,,
سلال,سِلال,,,1,,,سِـ-لا-لٌ,2H14,,,,,,,,,,,
سلام,سَلام,,,1,,,سَـ-لا-مٌ,4H5-4H6,,,,,,,,,,,
سلامة,سَلامَة,,,1,,,سَـ-لا-مَـ-ـةٌ,2H9,,,,,,,,,,,
سليم,سَليم,,,1,,,سَـ-ليـ-مٌ,2H12,,,,,,,,,,,
سماق,سُمّاق,,,1,,,سُمْـ-ما-قٌ,2H15,,,,,,,,,,,
سمن,سَمَّنَ,,,,1,,سَمْـ-مَـ-نَ,4H4,,,,,,,,,,,
سماد,سَماد,,,1,,,سَـ-ما-دٌ,4H9-4H8,,,,,,,,,,,
سمع,سَمْع,,,1,,,سَمْـ-ـعٌ,4H8,,,,,,,,,,,
سمنة,سُمْنَة,,,1,,,سُمْـ-نَـ-ـةٌ,4H2,,,,,,,,,,,
سمير,سَمير,,,1,,,سَـ-ميـ-رٌ,2H2-S,,,,,,,,,,,
سمين,سَمين,,,1,,,سَـ-ميـ-نٌ,4H8,,,,,,,,,,,
سهول,سُهول,,,1,,,سُـ-ـهو-لٌ,2H9,,,,,,,,,,,
سوار,سِوار,,,1,,,سِـ-وا-رٌ,4H4,,,,,,,,,,,
سور,سور,,,1,,,سو-رٌ,2H9-4H3,,,,,,,,,,,
سيرين,سيرين,,,1,,,سيـ-ريـ-ن,2H9-kg2,,,,,,,,,,,
سيف,سَيْف,,,1,,,سَيْـ-فُ,2H2-4H8,,,,,,,,,,,
سيقان,سيقان,,,1,,,سيـ-قا-نٌ,4H3,,,,,,,,,,,
شرطي,شٌرطي,,,1,,,شُرْ-طيـ-ـيٌ,KG1-kg2-1H4-2H2,,,,,,,,,,,
شبكة,شَبَكَة,,,1,,,شَـ-بَـ-كَـ-ـةٌ,kg2-2H2,,,,,,,,,,,
شجرة,شَجَرَة,,,1,,,شَـ-جَـ-رَ-ةٌ,KG1-kg2-1H7,,,,,,,,,,,
شذى,شَذى,,,1,,,شَـ-ذى,KG1-kg2-4H1-1H4,,,,,,,,,,,
شرط,شَرْط,,,1,,,شَرْ-طٌ,KG1-1H6,,,,,,,,,,,
شراب,شَراب,,,1,,,شَـ-را-بٌ,kg2-2H2,,,,,,,,,,,
شطيرة,شَطيرَة,,,1,,,شَـ-طيـ-رَ-ةٌ,kg2,,,,,,,,,,,
شعر,شَعْر,,,1,,,شَعْـ-رٌ,KG1-1H6-4H6-4H8,,,,,,,,,,,
شقي,شَقيّ,,,1,,,شَـ-قيـ-ـيٌ,kg2,,,,,,,,,,,
شلال,شَلّال,,,1,,,شَلْـ-لا-لٌ,kg2-2H2,,,,,,,,,,,
شمس,شَمْس,,,1,,,شَمْـ-سٌ,KG1-kg2-1H6-4H8-4H9-2H5,,,,,,,,,,,
شمعة,شَمْعَة,,,1,,,شَمْـ-ـعَـ-ةٌ,kg2-2H4-S-4H3,,,,,,,,,,,
شمام,شَمّام,,,1,,,شَمْـ-ما-مٌ,KG1-kg2-1H7-2H5-1H6,,,,,,,,,,,
شوك,شَوْك,,,1,,,شَوْ-كٌ,KG1-1H4-4H8,,,,,,,,,,,
شوكة,شَوْكَة,,,1,,,شَوْ-كَـ-ـةٌ,KG1-kg2-1H6-2H5,,,,,,,,,,,
شواطئ,شَواطِئ,,,1,,,شَـ-وا-طِ-ـئ,kg2-2H2-S,,,,,,,,,,,
شباك,شُبّاك,,,1,,,شُبْـ-با-ك,KG1-kg2-2H2-4H3-4H8-1H42H5,,,,,,,,,,,
شجاع,شُجاع,,,1,,,شُـ-جا-عٌ,kg2-2H7,,,,,,,,,,,
شروق,شُروق,,,1,,,شُـ-رو-قٌ,KG1-2H15-4H4,,,,,,,,,,,
شعوب,شُعوب,,,1,,,شُـ-ـعو-بٌ,kg2,,,,,,,,,,,
شموع,شُموع,,,1,,,شُـ-ـمو-عٌ,kg2-2H2-S-4H6,,,,,,,,,,,
شهور,شُهور,,,1,,,شُـ-ـهو-رٌ,kg2-2H4,,,,,,,,,,,
شوفان,شوفان,,,1,,,شو-فا-نٌ,kg2-2H9,,,,,,,,,,,
شبل,شِبْـل,,,1,,,شِبْـ-لٌ,KG1-kg2,,,,,,,,,,,
شتاء,شِتاء,,,1,,,شِـ-تا-ءٌ,KG1-kg2-1H7-4H3,,,,,,,,,,,
شراع,شِراع,,,1,,,شِـ-را-ـعٌ,kg2-2H15-4H4,,,,,,,,,,,
شعر,شِعْر,,,1,,,شِعْـ-رٌ,kg2-2H7,,,,,,,,,,,
شفاه,شِفاه,,,1,,,شِـ-فا-هٌ,KG1-1H7-4H8,,,,,,,,,,,
شهاب,شِهاب,,,1,,,شِـ-ـها-بٌ,kg2,,,,,,,,,,,
شاحنة,شاحِنَة,,,1,,,شا-حِـ-نَـ-ـةٌ,KG1-kg2-1H7-2H9,,,,,,,,,,,
شاخصة,شاخِصَة,,,1,,,شا-خِـ-صَـ-ـةٌ,KG1-kg2-1H6-2H5,,,,,,,,,,,
شارع,شارِع,,,1,,,شا-رِ-عٌ,KG1-1H6-kg2-4H3-4H8,,,,,,,,,,,
شاشة,شاشَة,,,1,,,شا-شَـ-ـةٌ,KG1-1H6,,,,,,,,,,,
شاعر,شاعِر,,,1,,,شا-ـعِ-رٌ,2H12,,,,,,,,,,,
شاي,شاي,,,1,,,شا-يٌ,1H6-KG1,,,,,,,,,,,
شباب,شَباب,,,1,,,شَـ-با-بٌ,2H15,,,,,,,,,,,
شبل,شِبْـل,,,1,,,شِبْـ-لٌ,1H4-2H5,,,,,,,,,,,
شبه,شَبَه,,,1,,,شَـ-بَـ-ـهٌ ؟؟,2H2-4H8,,,,,,,,,,,
شتلة,شَتْـلَة,,,1,,,شَتْـ-لَـ-ـةٌ,4H2,,,,,,,,,,,
شجع,شَجَّعَ,,,,1,,شَجْـ-جَـ-ـعَ,4H4,,,,,,,,,,,
شرب,شُرْب,,,1,,,شُرْ-بٌ,2H16,,,,,,,,,,,
شرف,شَرَف,,,1,,,شَـ-رَ-فٌ,4H8,,,,,,,,,,,
شرفة,شُرْفَةُ,,,1,,,شُرْ-فَـ-ـةٌ,4H5,,,,,,,,,,,
شعار,شِعار,,,1,,,شِـ-ـعا-رٌ,2H15,,,,,,,,,,,
شعراء,شُعَراء,,,1,,,شُـ-ـعَـ-را-ء,4H2,,,,,,,,,,,
شعلة,شُعْلَة,,,1,,,شُعْـ-لَـ-ـةٌ,4H2,,,,,,,,,,,
شعوب,شُعوب,,,1,,,شُـ-ـعو-بٌ,2H7,,,,,,,,,,,
شعور,شُعور,,,1,,,شُـ-ـعو-رٌ,2H11,,,,,,,,,,,
شعير,شَعير,,,1,,,شَـ-ـعيـ-رٌ,4H5,,,,,,,,,,,
شغف,شَغَف,,,1,,,شَـ-ـغَـ-فٌ,4H2,,,,,,,,,,,
شفاء,شِفاء,,,1,,,شِـ-ـفا-ءٌ,4H6,,,,,,,,,,,
شقوق,شُقوق,,,1,,,شُـ-ـقو-قٌ,4H6,,,,,,,,,,,
شكر,شُكْر,,,1,,,شُكْـ-رٌ,2H13,,,,,,,,,,,
شمع,شَمْع,,,1,,,شَمْـ-عٌ,4H1,,,,,,,,,,,
شهاب,شِهاب,,,1,,,شِـ-ـها-بٌ,2H9,,,,,,,,,,,
شهد,شَهْد,,,1,,,شَـهْـ-دٌ,2H15,,,,,,,,,,,
شهر,شَهْر,,,1,,,شَـهْـ-رٌ,2H7,,,,,,,,,,,
شيح,شيح,,,1,,,شيـ-حٌ,4H3,,,,,,,,,,,
شيخ,شَيْخ,,,1,,,شَيْـ-خٌ,4H8,,,,,,,,,,,
صادق,صادِق,,,1,,,صا-دِ-قٌ,kg2,,,,,,,,,,,
صائغ,صائِغ,,,1,,,صا-ئِـ-غٌ,kg2-2H2-4H8,,,,,,,,,,,
صبر,صَبْـر,,,1,,,صَبْـ-رٌ,kg2-2H7-4H3,,,,,,,,,,,
صبار,صَبّار,,,1,,,صَبْـ-با-رٌ,kg2-4H2-4H5,,,,,,,,,,,
صباح,صَباح,,,1,,,صَـ-با-حٌ,kg2-2H2,,,,,,,,,,,
صحن,صَحْـن,,,1,,,صَحْـ-نٌ,KG1-kg2-1H4-2H5-4H8,,,,,,,,,,,
صحيفة,صَحيفَة,,,1,,,صَـ-حيـ-فَـ-ـةٌ,kg2,,,,,,,,,,,
صخرة,صَخْـرَة,,,1,,,صَخْـ-رَ-ة,KG1-kg2-1H6-4H4,,,,,,,,,,,
صدر,صَدْر,,,1,,,صَدْ-رٌ,kg2-2H7,,,,,,,,,,,
صديق,صَديق,,,1,,,صَـ-ديـ-قٌ,KG1-kg2-1H7-4H4-4H8,,,,,,,,,,,
صغير,صَغير,,,1,,,صَـ-ـغيـ-رٌ,kg2-2H7-4H8,,,,,,,,,,,
صف,صَفّ,,,1,,,صَفْـ-فٌ,KG1-1H6,,,,,,,,,,,
صقر,صَقْر,,,1,,,صَقْـ-رٌ,KG1-kg2-1H6-2H5,,,,,,,,,,,
